Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Manrique Central No. 1;0.711538462;0.417624521;0.632183908;0.651340996;0.643678161;0.605363985;0.747126437;17.2;19.4;20;17;24.2;16.6;20;23;20;18.2;14.6;19.8;1.766666667;1.716666667;12.31666667;12.58333333;0.183333333;6.4;235;220;264;195;236;230;0.033333333;0;5.45;1.033333333;0;0;0;0;0;12.46666667;0;0;0.6;1;0.5;0.69;0.6;0.633333333;0.383333333;0.65;0.716666667;0.7;0.616666667;0.5;11;3
Manrique Central No. 2;0.303846154;0.318007663;0.471264368;0.425287356;0.32183908;0.394636015;0.329501916;12;11.6;13;9.6;12;9.4;10.8;9.8;10.8;12.2;10.6;12;1.6;1.516666667;6.283333333;8.016666667;0.033333333;3.1;133;170;129;137;100;133.8;0.016666667;0;2.266666667;1.083333333;0;0.016666667;0;0;0;7.733333333;0;0;0.6;1.75;0.25;0.68;0.4;0.433333333;0.333333333;0.3;0.35;0.483333333;0.383333333;0.3;0;2
Manrique Oriental;0.492307692;0.475095785;0.513409962;0.402298851;0.417624521;0.528735632;0.53256705;10;15.6;16.4;13.4;18.4;9.2;16.4;16.4;18.2;15.4;11.8;14.2;2.4;1.616666667;8.433333333;10.55;0.116666667;3.95;197;191;160;168;161;175.4;0.05;0;2.666666667;0.983333333;0;0;0;0;0;10.8;0.016666667;0;0.4;0.5;0.75;0.66;1;0.433333333;0.533333333;0.466666667;0.5;0.533333333;0.533333333;0.366666667;2;2
María Cano Carambolas;0.026923077;0.08045977;0.022988506;0.030651341;0.022988506;0.030651341;0.026819923;0.6;0.8;1.4;1;1.4;1.4;1.2;0.4;1.4;1;0.8;1.2;0.516666667;0.016666667;0.316666667;0.833333333;0.016666667;0.2;12;15;16;14;6;12.6;0;0;0.016666667;0.116666667;0;0;0;0;0;0.9;0;0;0.2;0.25;0;0;0.2;0.033333333;0.016666667;0.066666667;0.033333333;0.016666667;0.033333333;0.016666667;0;2
Media Luna;0.019230769;0.019157088;0.019157088;0.034482759;0.026819923;0.030651341;0.019157088;0.2;0.8;1;0.2;0.6;0.8;0.4;1.6;0.8;1;0.8;0.6;0.05;0.116666667;0.333333333;0.55;0.016666667;0.166666667;19;7;5;4;9;8.8;0;0;0.016666667;0;0;0;0;0;0;0.7;0;0;0;0;0;0.07;0;0.016666667;0.033333333;0.016666667;0.033333333;0.033333333;0.05;0.016666667;0;2
Media Luna ;0;0.003831418;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016666667;0;0.016666667;0;0;0;1;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Metropolitano;0.030769231;0.01532567;0.01532567;0.01532567;0.019157088;0.034482759;0.019157088;0;0.8;0.4;0.8;1.4;0.4;0.6;0.2;0.8;0.8;0.4;1.2;0.1;0.133333333;0.266666667;0.466666667;0;0.183333333;4;13;11;6;5;7.8;0.016666667;0;0.083333333;0.1;0;0;0;0;0;0.45;0;0;0;0;0;0;0;0.016666667;0.016666667;0.016666667;0.033333333;0.016666667;0.033333333;0.05;0;2
Mirador Del Doce;0.030769231;0.011494253;0.022988506;0.030651341;0.019157088;0.022988506;0.019157088;1.2;1;1.4;0.8;0.2;0.6;0.6;0.4;0.4;0.6;0.8;0.2;0.216666667;0.166666667;0.133333333;0.583333333;0.016666667;0.083333333;7;9;8;10;7;8.2;0;0;0.066666667;0.083333333;0;0;0;0;0;0.516666667;0;0;0.2;0;0;0.01;0;0.05;0;0.016666667;0;0.033333333;0.016666667;0.033333333;0;1
Miraflores;0.338461538;0.30651341;0.32183908;0.333333333;0.325670498;0.425287356;0.360153257;11;10.4;10.4;8.6;10.2;9.2;12.8;10.2;11.6;8;11.2;12.2;0.8;0.85;7.2;6.716666667;0.016666667;3.75;152;127;147;94;109;125.8;0;0;3.266666667;0.733333333;0;0;0;0;0;6.466666667;0;0;0.4;0.25;0.5;0.29;0;0.35;0.266666667;0.383333333;0.466666667;0.433333333;0.416666667;0.333333333;0;3
Miranda;0.523076923;0.570881226;0.54789272;0.605363985;0.559386973;0.620689655;0.597701149;18.4;17.2;16;17.2;19.6;17.2;19.4;20.2;18.4;16.2;13.2;17;2.383333333;1.45;11.45;10.5;0.05;6.95;220;241;210;209;170;210;0.066666667;0.016666667;4.416666667;1.35;0;0.016666667;0;0;0.016666667;11.56666667;0;0;1;0.5;0;0.81;0.8;0.483333333;0.666666667;0.55;0.716666667;0.733333333;0.416666667;0.55;2;3
Miravalle;0.011538462;0.045977011;0.042145594;0.049808429;0.057471264;0.076628352;0.034482759;1.2;0.4;2.4;1.2;1.4;1.8;1.6;0.8;2;1.4;0.6;1.8;0.166666667;0.066666667;0.95;0.7;0;0.683333333;18;14;25;15;11;16.6;0;0;0.3;0.05;0;0;0;0;0;1.033333333;0;0;0.2;0;0;0.01;0;0.05;0.083333333;0.05;0.1;0.033333333;0.05;0.033333333;0;4
Monteclaro;0.05;0.076628352;0.045977011;0.072796935;0.049808429;0.038314176;0.042145594;1.4;2.6;1.6;1.4;2;1.2;1.8;1.8;1.6;1.4;1;1.8;0.183333333;0.333333333;0.616666667;1.25;0;0.383333333;17;15;18;25;23;19.6;0;0;0.033333333;0.266666667;0;0;0;0;0;1.333333333;0;0;0;0;0;0.08;0;0.05;0.066666667;0.05;0.066666667;0.05;0.05;0.116666667;0;3
Moravia;0.796153846;0.605363985;0.724137931;0.766283525;0.670498084;0.819923372;0.770114943;22.4;23.4;18;22.4;22.4;22;21.6;25;24.8;20.6;19.8;26.4;4.533333333;1.75;12.71666667;13.88333333;0.333333333;8.183333333;317;303;276;204;244;268.8;0.033333333;0.083333333;2;1.383333333;0;0.083333333;0.016666667;0;0.133333333;18.33333333;0;0;0.4;0.75;0.75;0.89;0;0.683333333;0.716666667;0.816666667;0.783333333;0.983333333;0.9;0.833333333;3;2
Moscú No. 1;0.138461538;0.214559387;0.137931034;0.203065134;0.153256705;0.260536398;0.203065134;5.6;4;7;6;5.6;7;6.6;5.2;5.2;4.8;5.8;5.6;1.283333333;0.6;3.066666667;3.766666667;0;1.933333333;76;67;75;54;70;68.4;0.033333333;0;0.816666667;0.45;0;0;0;0;0.016666667;4.383333333;0;0;0;0;0;0.3;0.2;0.166666667;0.1;0.183333333;0.15;0.216666667;0.25;0.2;0;2
Moscú No. 2;0.161538462;0.203065134;0.218390805;0.191570881;0.118773946;0.172413793;0.141762452;3.6;4;5.6;5;6.4;5;4;3.8;6.2;5.6;7.6;6.2;1.55;0.883333333;1.883333333;4.133333333;0.016666667;1.1;59;80;60;65;51;63;0;0;0.533333333;0.516666667;0;0;0;0;0.016666667;4.166666667;0;0;0.6;0;0.5;0.14;0.4;0.166666667;0.116666667;0.116666667;0.166666667;0.233333333;0.283333333;0.15;0;2
Naranjal;1.707692308;0.697318008;1.639846743;1.536398467;1.521072797;1.463601533;1.823754789;39.8;45.6;38.4;46.4;50.8;44.6;50.8;51;46.4;45.2;39.2;43.8;2.433333333;3.016666667;34.23333333;19.41666667;0.216666667;25.53333333;536;636;510;538;490;542;0.2;0.033333333;4.866666667;3.466666667;0.016666667;0.233333333;0.1;0;0.466666667;35.56666667;0;0;2;1;0.25;2.2;0.4;1.466666667;1.483333333;1.416666667;1.3;1.433333333;1.583333333;1.633333333;5;3
Nueva Villa De Aburrá;0.119230769;0.061302682;0.08045977;0.072796935;0.091954023;0.111111111;0.126436782;1.4;2.6;1.8;2.2;3.6;3;4;4.2;3.2;3.4;2.8;2.4;0.25;0.183333333;2.1;1.466666667;0.016666667;1.4;35;34;32;41;31;34.6;0;0;0.466666667;0.133333333;0;0;0;0;0;2.266666667;0;0;0;0;0.25;0.11;0.2;0.1;0.116666667;0.066666667;0.116666667;0.166666667;0.116666667;0.1;2;5
Nueva Villa De La Iguaná;0.207692308;0.157088123;0.275862069;0.237547893;0.256704981;0.24137931;0.268199234;7.8;6.4;7.4;7.4;5.6;4.4;9;8.4;8.2;8.8;6.2;6.2;0.483333333;0.6;4.916666667;4.433333333;0.033333333;2.683333333;83;78;87;91;90;85.8;0.066666667;0.016666667;1.233333333;0.366666667;0;0;0;0;0.05;5.366666667;0;0.016666667;0.4;0;0;0.22;0.2;0.283333333;0.2;0.333333333;0.1;0.25;0.25;0.316666667;0;1
