Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Piedras Blancas Represa;0;0;0.007662835;0.003831418;0.011494253;0.003831418;0;0.2;0;0;0;0.2;0.2;0.2;0.2;0.2;0;0;0.2;0;0.033333333;0.05;0.083333333;0.016666667;0.016666667;1;1;3;0;2;1.4;0.016666667;0;0.016666667;0.033333333;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0;0;0;1
Playón De Los Comuneros;0.207692308;0.218390805;0.187739464;0.157088123;0.137931034;0.157088123;0.16091954;2.8;6.8;5.6;4.6;4.2;4.2;6;5.6;6.4;6.4;5.6;5.8;1.05;0.45;3;3.583333333;0.05;1.7;64;65;54;63;74;64;0.016666667;0;0.8;0.433333333;0;0;0;0;0.016666667;4.033333333;0;0;0.2;0;0;0.13;0;0.066666667;0.1;0.166666667;0.166666667;0.166666667;0.316666667;0.15;0;2
Plaza De Ferias;0.088461538;0.057471264;0.076628352;0.061302682;0.084291188;0.072796935;0.053639847;1.4;1.2;3;2.2;2.2;1.8;2.4;2;1.2;2.8;2.6;3;0.216666667;0.1;1.733333333;1.3;0.016666667;0.833333333;28;21;36;26;18;25.8;0;0;0.35;0.1;0;0;0.016666667;0;0;1.666666667;0;0;0;0;0;0;0;0.05;0.016666667;0.116666667;0.083333333;0.016666667;0.083333333;0.083333333;0;3
Popular;0.284615385;0.245210728;0.245210728;0.237547893;0.245210728;0.291187739;0.22605364;7;7.8;10.6;9.4;6;5.4;7.2;9.8;10.4;6.4;5.8;6.8;2.1;1.15;3.216666667;5.466666667;0.016666667;2.233333333;121;95;88;78;81;92.6;0.033333333;0;0.466666667;0.916666667;0;0;0;0;0;6.283333333;0;0;0;0.75;0.25;0.37;0.2;0.283333333;0.216666667;0.45;0.316666667;0.233333333;0.183333333;0.3;0;2
Potrerito;0.003846154;0;0;0;0;0.003831418;0.011494253;0;0;0;0;0;0;0;0.2;0.2;0.4;0;0.2;0.016666667;0;0.066666667;0.066666667;0;0.016666667;2;1;0;1;1;1;0;0;0.016666667;0;0;0;0;0;0;0.066666667;0;0;0;0;0;0.01;0;0;0;0;0;0;0.016666667;0;0;2
Prado;1.273076923;0.632183908;1.245210728;1.034482759;1.206896552;1.126436782;1.295019157;31.6;33;31.4;35.4;38.4;32.2;38;36;34.2;33.4;30.4;33.6;2.75;2.416666667;24.9;19.2;0.233333333;14.53333333;463;434;402;380;359;407.6;0.1;0.016666667;11.85;1.316666667;0;0;0.016666667;0;0;20.48333333;0;0;2.2;1.5;0;1.19;0.4;1;1.283333333;1.166666667;1.066666667;1.15;1.266666667;1.283333333;13;4
Robledo;0.55;0.448275862;0.605363985;0.490421456;0.620689655;0.662835249;0.574712644;15.8;12.4;15.4;17.2;20;15.2;22.8;18;22.2;17.6;15.8;13.8;1.4;2.8;8.85;11.96666667;0.083333333;5.133333333;174;210;209;249;189;206.2;0.016666667;0;2.2;2.016666667;0;0.066666667;0;0.016666667;0;12.78333333;0;0;0.6;0;0.25;0.43;0.8;0.583333333;0.55;0.666666667;0.433333333;0.666666667;0.683333333;0.633333333;2;3
Rosales;0.896153846;0.440613027;0.819923372;0.888888889;0.927203065;0.846743295;0.950191571;21.2;25.4;23.8;24.2;26.6;22.8;24.8;25.2;28.6;27.4;26.8;24.2;1.333333333;1.633333333;19.65;13.28333333;0.133333333;11.66666667;268;286;330;308;313;301;0.05;0.15;7.283333333;1.116666667;0;0.15;0.05;0;0.033333333;16.11666667;0;0.016666667;0.4;0.25;0.5;0.9;0.2;0.833333333;0.633333333;0.766666667;0.8;0.866666667;0.9;1.1;4;5
San Antonio;0.019230769;0.007662835;0.01532567;0.011494253;0.01532567;0.011494253;0.007662835;0.2;0.2;0.2;0.4;0.4;0.4;0.2;0.8;0.8;0.2;0.2;0.6;0.066666667;0.083333333;0.133333333;0.3;0;0.083333333;7;7;6;2;1;4.6;0;0;0;0.033333333;0;0;0;0;0;0.35;0;0;0;0;0;0;0;0.016666667;0;0.016666667;0.016666667;0.033333333;0;0;0;1
San Benito;2.346153846;0.712643678;2.038314176;1.727969349;2.22605364;2.053639847;2.072796935;36.8;53.6;59.6;56.6;55.4;53;59.2;69;61.8;64.6;59.6;58.2;6.833333333;3.3;41.81666667;24.51666667;0.466666667;32.3;696;868;730;565;578;687.4;0.1;0.083333333;7.483333333;2.816666667;0.033333333;0.183333333;0.2;0.016666667;0.25;45.6;0.016666667;0.033333333;2.2;1.5;0.5;2.41;0.4;2;2.133333333;2.05;2.033333333;2.316666667;2.083333333;2.05;15;3
San Bernardo;0.576923077;0.463601533;0.544061303;0.517241379;0.616858238;0.570881226;0.578544061;17.4;15.6;15.4;17;17.4;17.2;17;16.2;19.2;17.6;16.8;15;1.85;1.416666667;11.15;9.933333333;0.15;6.733333333;182;191;239;208;189;201.8;0.066666667;0;4.183333333;1.1;0;0;0;0.016666667;0;11.33333333;0;0;0.4;0;0.5;0.44;0.2;0.533333333;0.466666667;0.6;0.55;0.533333333;0.366666667;0.666666667;5;3
San Diego;1.803846154;0.69348659;1.735632184;1.605363985;1.892720307;1.494252874;1.747126437;43.4;43.6;45.8;46.8;49;47.2;52.8;53.4;49.6;46.2;42.4;52.2;2.5;2.95;36.9;19.16666667;0.233333333;28.3;548;585;599;587;543;572.4;0.083333333;2.983333333;4.783333333;3.35;0.016666667;1.166666667;0;0;0.133333333;34.98333333;0;0;1.2;0.75;0.75;2.02;0.4;1.516666667;1.516666667;1.683333333;1.666666667;1.5;1.733333333;1.916666667;5;4
San Germán;0.423076923;0.180076628;0.409961686;0.356321839;0.398467433;0.337164751;0.390804598;6.8;9.4;11;12;11;10.4;7.6;10;11.2;13;14.2;13.6;1.1;0.65;7.816666667;5.916666667;0.083333333;4.85;101;115;127;133;175;130.2;0.083333333;0.033333333;1.716666667;0.833333333;0;0.05;0.016666667;0;0.066666667;7.966666667;0;0;0.4;0.75;0.5;0.28;0;0.35;0.366666667;0.433333333;0.3;0.316666667;0.333333333;0.316666667;1;3
San Isidro;0.511538462;0.54789272;0.528735632;0.570881226;0.521072797;0.609195402;0.574712644;12.8;18.4;17.4;13;19;13.4;17;19;19.2;18.4;14.4;19.6;2.25;2.283333333;9.083333333;12.1;0.083333333;4.616666667;158;185;229;228;208;201.6;0.05;0.2;3.733333333;1.566666667;0;0.1;0;0;0.133333333;10.93333333;0;0;0.4;0.5;1;0.44;0.4;0.65;0.366666667;0.783333333;0.533333333;0.433333333;0.466666667;0.616666667;1;3
San Javier No.1;0.461538462;0.329501916;0.340996169;0.348659004;0.425287356;0.432950192;0.444444444;10.8;10.2;11.8;13.2;15;10;13;10.6;11;17.2;9.6;12.8;1.616666667;1.516666667;6.683333333;8.483333333;0.066666667;3.55;161;139;150;153;123;145.2;0;0.633333333;2.566666667;1.116666667;0;0.016666667;0;0;0;7.7;0;0;0.4;0;0;0.34;0;0.333333333;0.433333333;0.583333333;0.333333333;0.416666667;0.333333333;0.383333333;1;3
San Javier No.2;0.15;0.157088123;0.137931034;0.187739464;0.134099617;0.233716475;0.114942529;4.8;5.2;4.6;3.8;5;4;4.8;5.4;6.4;4.6;4.6;5;0.983333333;0.566666667;2.633333333;3.116666667;0.016666667;1.716666667;68;51;75;49;48;58.2;0.016666667;0.016666667;1.016666667;0.35;0;0;0;0;0;3.433333333;0;0;0.2;0;0;0.22;0.2;0.133333333;0.166666667;0.1;0.3;0.1;0.083333333;0.216666667;2;3
San Joaquín;0.353846154;0.16091954;0.394636015;0.375478927;0.475095785;0.333333333;0.45210728;8.8;11.2;11.4;9.6;11.4;15;10.2;10.8;12.8;13.2;8.2;10.2;0.85;0.466666667;8.633333333;5.35;0.116666667;5.6;132;136;161;106;129;132.8;0.016666667;0;2.233333333;0.45;0;0.016666667;0;0;0;8.233333333;0;0.016666667;0;0;0;0.48;0.2;0.516666667;0.433333333;0.35;0.5;0.383333333;0.433333333;0.333333333;4;4
San José De La Montaña;0;0.003831418;0;0;0.003831418;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0.016666667;0.016666667;0;0.016666667;0;0;0;1;1;0.4;0;0;0;0.016666667;0;0;0;0;0;0.016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
San José La Cima No. 1;0.015384615;0.026819923;0.019157088;0.007662835;0.019157088;0.038314176;0.011494253;1;0.6;0.4;0.4;1;0;0.6;0.4;0.8;0.6;0.6;0.8;0.183333333;0.066666667;0.233333333;0.466666667;0.016666667;0.116666667;5;11;8;7;5;7.2;0;0;0.016666667;0.083333333;0;0;0;0;0;0.483333333;0;0;0;0;0;0.01;0;0.016666667;0.05;0.016666667;0.033333333;0.033333333;0.033333333;0.016666667;0;2
San José La Cima No.2;0.011538462;0.007662835;0.007662835;0.01532567;0.019157088;0.011494253;0.003831418;0.6;0.4;0.2;0;0;0;0.6;0.8;0.2;0.2;0.4;0.6;0.066666667;0.1;0.016666667;0.316666667;0;0.016666667;8;4;2;3;3;4;0.016666667;0;0.016666667;0.083333333;0;0;0;0;0;0.216666667;0;0;0;0;0;0;0;0;0;0.016666667;0.033333333;0.016666667;0;0.016666667;0;2
San Lucas;0.134615385;0.045977011;0.149425287;0.072796935;0.114942529;0.072796935;0.130268199;1;1.2;3.2;2.4;4;2.2;3;6.2;4;2.6;4;3.8;0.15;0.083333333;2.633333333;0.783333333;0.016666667;2.333333333;33;21;29;51;54;37.6;0;0.033333333;0.216666667;0.4;0;0;0.016666667;0;0;2.45;0;0;0.2;0;0;0.13;0;0.05;0.1;0.133333333;0.1;0.033333333;0.066666667;0.116666667;2;5
San Martín De Porres;0.319230769;0.337164751;0.329501916;0.325670498;0.295019157;0.406130268;0.340996169;9;9.8;10.4;10.8;10.4;11.6;8.8;11.8;9.2;10.6;10.2;10.2;1.633333333;1.966666667;4.4;7.583333333;0.016666667;2.633333333;122;121;115;125;131;122.8;0.083333333;0;1.516666667;1.483333333;0;0;0;0;0;7.133333333;0;0;0.2;0.75;0.5;0.4;0.2;0.3;0.416666667;0.25;0.2;0.366666667;0.3;0.2;0;2
San Miguel;0.419230769;0.37164751;0.528735632;0.45210728;0.440613027;0.413793103;0.482758621;8.8;14.4;13.2;13.2;14.2;11.8;15.2;15.4;13.8;15.4;13;13.8;1.1;1.3;9.116666667;9.45;0.066666667;4;192;168;151;161;139;162.2;0.016666667;0;5.316666667;0.85;0;0;0.016666667;0;0;7.233333333;0;0.016666667;0.8;0.75;0.75;0.57;0.2;0.533333333;0.3;0.45;0.25;0.4;0.416666667;0.483333333;0;3
San Pablo;0.161538462;0.298850575;0.14559387;0.180076628;0.203065134;0.264367816;0.141762452;6.2;5;7.4;6.2;5.2;5.2;6.6;5.2;7.2;5.8;5.8;7;1.716666667;1;2.366666667;4.75;0;1.316666667;75;86;76;67;60;72.8;0;0;0.616666667;0.6;0;0;0;0;0;4.85;0;0;0.2;0.5;0.25;0.14;0.6;0.1;0.216666667;0.2;0.116666667;0.25;0.25;0.2;0;2
San Pedro;0.607692308;0.363984674;0.524904215;0.486590038;0.517241379;0.567049808;0.582375479;14.4;14.8;16.8;15;18.2;13.6;16.2;18.8;15.6;17.8;14.4;14.8;1.583333333;1.316666667;11.23333333;8.316666667;0.116666667;7.433333333;203;186;206;180;177;190.4;0.066666667;1.433333333;3.783333333;0.75;0;0;0;0;0;9.716666667;0;0;1.8;0.25;0.25;0.67;0;0.6;0.483333333;0.666666667;0.5;0.683333333;0.433333333;0.55;5;3
Santa Cruz;0.207692308;0.195402299;0.164750958;0.164750958;0.157088123;0.176245211;0.134099617;3.6;4.6;5.2;5.6;7;4.4;4.8;5.8;3.8;5.4;6.4;6;1.283333333;0.516666667;2.6;3.933333333;0.066666667;1.216666667;79;53;54;56;71;62.6;0.05;0.016666667;0.816666667;0.45;0;0;0;0;0;3.816666667;0;0;0.8;0.5;0.25;0.08;0.2;0.183333333;0.183333333;0.183333333;0.083333333;0.166666667;0.133333333;0.2;1;2
Santa Fé;2.084615385;0.83908046;2.053639847;1.865900383;2.157088123;1.570881226;2.375478927;47.6;51.6;58.6;55.4;59.8;50.8;59;62.4;59;54.6;58.6;58;3.216666667;3.983333333;41.35;30.18333333;0.35;25.75;673;575;696;717;716;675.4;0.183333333;1.716666667;7.416666667;2.383333333;0.016666667;0.35;0.033333333;0.016666667;0.15;43.7;0;0;1.6;1.25;0.75;2.19;0.2;1.966666667;2.066666667;2.1;1.8;1.583333333;1.916666667;2.016666667;4;4
Santa Inés;0.257692308;0.333333333;0.314176245;0.279693487;0.295019157;0.310344828;0.314176245;7.8;8.6;9;9.2;10;13;9.8;9;8.6;9.6;7.2;8;1.883333333;1.05;4.55;6.566666667;0.066666667;2.516666667;136;99;109;90;115;109.8;0.033333333;0.05;1.183333333;0.9;0;0;0;0;0;6.916666667;0;0;0.4;0;0;0.32;0.4;0.416666667;0.283333333;0.433333333;0.266666667;0.366666667;0.183333333;0.3;0;2
Santa Lucía;0.134615385;0.122605364;0.122605364;0.164750958;0.130268199;0.176245211;0.126436782;3.4;3.2;4.6;5;4.8;5.2;4.8;3.2;4.2;6;2.6;4;0.8;0.466666667;2.483333333;2.716666667;0.016666667;1.516666667;46;56;43;63;47;51;0;0;0.816666667;0.166666667;0;0;0;0;0;3.25;0;0;0.4;0.25;0.25;0.07;0.4;0.116666667;0.183333333;0.116666667;0.066666667;0.1;0.1;0.166666667;4;3
Santa Margarita;0.111538462;0.122605364;0.084291188;0.141762452;0.099616858;0.164750958;0.103448276;3;1.4;3.2;4.8;4;3.8;3.4;4.8;4.4;3.6;4.4;2.4;0.3;0.85;1.666666667;2.683333333;0.016666667;0.9;22;25;29;56;84;43.2;0.016666667;0;0.366666667;0.583333333;0.016666667;0;0.016666667;0;0.016666667;2.566666667;0;0;0;0.25;0.25;0.1;0;0.066666667;0.066666667;0.116666667;0.15;0.083333333;0.183333333;0.116666667;0;2
Santa María De Los Ángeles;0.696153846;0.22605364;0.720306513;0.666666667;0.670498084;0.494252874;0.685823755;16.8;17.2;18.2;20;17.2;20.2;15.6;19.8;18.4;17.6;17.8;18.2;0.55;0.883333333;14.53333333;6.866666667;0.116666667;11.1;192;207;216;292;178;217;0.116666667;0;1.6;1.316666667;0;0.1;0.05;0;0.35;14.45;0;0;0.6;0.25;0.25;0.63;0.2;0.616666667;0.65;0.716666667;0.583333333;0.6;0.616666667;0.7;4;5
Santa Mónica;0.226923077;0.153256705;0.191570881;0.187739464;0.237547893;0.256704981;0.279693487;7.2;7;5.6;7.6;6.8;5.8;8.8;4.4;7.6;6.8;5.8;6.6;0.366666667;0.716666667;4.65;4.316666667;0.033333333;2.316666667;82;79;99;76;64;80;0.016666667;0;2.266666667;0.4;0;0;0;0;0;3.95;0;0;0;0;0;0.13;0;0.25;0.233333333;0.216666667;0.25;0.233333333;0.1;0.333333333;1;4
Santa Rosa De Lima;0.011538462;0.011494253;0.01532567;0.022988506;0.011494253;0.01532567;0.011494253;0.4;0.4;0.4;0.6;0.6;0.4;0.6;0.4;0.4;0.4;0.4;0.2;0.066666667;0.1;0.183333333;0.316666667;0.016666667;0.1;7;4;1;8;6;5.2;0;0;0.066666667;0.066666667;0;0;0;0;0;0.283333333;0;0;0;0;0;0.01;0;0.016666667;0;0;0.016666667;0;0.016666667;0.016666667;0;3
Santa Teresita;0.130769231;0.122605364;0.122605364;0.134099617;0.164750958;0.164750958;0.233716475;3.2;5.2;5.2;5.4;5;4.8;5;3.6;3.8;5.2;4.6;5;0.266666667;0.166666667;3.733333333;2.483333333;0;2.183333333;55;55;56;57;57;56;0.016666667;0;1.683333333;0.366666667;0;0;0;0;0;2.6;0;0;0.2;0;0.25;0.19;0.2;0.1;0.233333333;0.05;0.216666667;0.116666667;0.15;0.233333333;0;5
Santander;0.280769231;0.344827586;0.256704981;0.268199234;0.233716475;0.375478927;0.268199234;8.6;6.2;8.2;10.2;6.6;10;12;10.2;9.8;6.6;7.4;10;2.05;1.85;3.366666667;7.15;0.033333333;1.633333333;97;90;111;129;102;105.8;0.033333333;0;1.116666667;1.266666667;0;0;0;0;0;6.366666667;0;0;0.4;0.25;0.5;0.3;0.2;0.383333333;0.35;0.283333333;0.25;0.266666667;0.533333333;0.216666667;0;2
Santo Domingo Savio No. 1;0.273076923;0.356321839;0.203065134;0.32183908;0.22605364;0.291187739;0.264367816;6.2;7.6;8.8;10;7.4;9.2;9.8;7.2;8.8;10.2;7.4;8.4;2.9;1.216666667;2.516666667;6.566666667;0.066666667;1.783333333;117;101;110;82;95;101;0;0;0.466666667;1.166666667;0;0;0;0;0;6.716666667;0;0;0.2;0.25;1;0.19;0.8;0.5;0.266666667;0.233333333;0.3;0.25;0.283333333;0.266666667;0;2
Santo Domingo Savio No. 2;0.092307692;0.122605364;0.068965517;0.061302682;0.126436782;0.103448276;0.088122605;1.4;4;2.4;2.8;3.6;4.6;3.2;2.4;1.8;3;2;3.4;1.15;0.483333333;0.933333333;2.266666667;0;0.616666667;39;35;40;32;27;34.6;0.016666667;0;0.1;0.466666667;0;0;0;0;0;2.3;0;0;0;0;0.25;0.12;0;0.066666667;0.066666667;0.133333333;0.083333333;0.133333333;0.066666667;0.05;0;1
Sevilla;0.853846154;0.432950192;0.800766284;0.651340996;0.712643678;0.639846743;0.747126437;19.4;20.2;24.2;19.6;25.4;15.4;20.2;23.4;26.2;18.8;19;20.6;2;1.933333333;14.66666667;11.13333333;0.166666667;9.733333333;252;244;235;295;236;252.4;0.033333333;0.95;3.966666667;1.516666667;0;0;0;0;0;14.38333333;0;0.033333333;0.8;0.25;0.25;0.73;0;0.766666667;0.85;0.683333333;0.616666667;0.616666667;0.633333333;0.616666667;3;3
Simón Bolívar;0.234615385;0.149425287;0.237547893;0.237547893;0.249042146;0.214559387;0.260536398;5.6;6.6;8.8;6.2;9;4.4;7;7;8.4;6.6;7;6;0.4;0.4;5.6;3.716666667;0.033333333;3.133333333;66;100;89;80;78;82.6;0;0.166666667;2.466666667;0.216666667;0;0;0.016666667;0;0;3.983333333;0;0;0.4;0;0;0.21;0;0.216666667;0.266666667;0.25;0.166666667;0.183333333;0.266666667;0.3;1;5
Suburb El Plan;0.142307692;0.283524904;0.149425287;0.180076628;0.16091954;0.153256705;0.126436782;7.8;9.6;4.4;4.8;5.6;3.8;4;3;2;3.8;8.2;5.4;0.583333333;1.35;1.383333333;4.4;0;0.8;171;86;33;22;0;62.4;0.05;0;0.016666667;1.683333333;0;0;0;0;0;3.45;0;0;0;0;0;0.21;0.2;0.216666667;0.166666667;0.183333333;0.183333333;0.216666667;0.166666667;0.15;0;2
Suburbano Altavista;0.053846154;0.076628352;0.030651341;0.068965517;0.030651341;0.030651341;0.042145594;0.6;1.8;1;1;1.6;2;2.2;1;0.6;1.8;2.4;1.4;0.216666667;0.183333333;0.75;1.083333333;0.016666667;0.35;18;23;15;19;12;17.4;0;0;0.033333333;0.133333333;0;0;0;0;0;1.266666667;0;0;0.2;0.25;0;0.03;0;0.05;0.066666667;0;0.05;0.033333333;0.116666667;0.066666667;0;2
Suburbano Barro Blanco;0;0;0.003831418;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.016666667;0;0.016666667;0;1;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Suburbano Chacaltaya;0;0;0;0;0.007662835;0.011494253;0.007662835;0;0.8;0;0;0;0;0;0;0;0.2;0.2;0.2;0;0;0.1;0.033333333;0;0.083333333;0;2;1;4;0;1.4;0;0;0;0.033333333;0;0;0;0;0;0.083333333;0;0;0;0;0;0;0;0;0.016666667;0;0;0;0.033333333;0.016666667;0;2
Suburbano El Llano;0.011538462;0.007662835;0.007662835;0.01532567;0.022988506;0.003831418;0.011494253;0;0.2;0;0.2;0.8;0.6;0.6;0.4;0.2;0.4;0.4;0.4;0.033333333;0.016666667;0.25;0.116666667;0;0.233333333;0;1;0;9;11;4.2;0;0;0.016666667;0.033333333;0;0;0;0;0;0.3;0;0;0;0;0.25;0.01;0;0;0.016666667;0.016666667;0;0;0.016666667;0.016666667;0;2
Suburbano El Tesoro;0.015384615;0.019157088;0.007662835;0.011494253;0.011494253;0.007662835;0.003831418;0.8;0.8;0.2;0;0.2;0;0.4;0.4;0.6;0.4;0.2;0;0;0.016666667;0.233333333;0.15;0;0.183333333;3;5;2;3;7;4;0;0.016666667;0.016666667;0.033333333;0;0;0;0;0;0.266666667;0;0;0.2;0;0;0.03;0;0.016666667;0;0;0;0.016666667;0;0.016666667;0;2
Suburbano La Loma;0.107692308;0.126436782;0.107279693;0.16091954;0.107279693;0.14559387;0.141762452;3.6;4;4.6;4;4.6;2.6;3.8;4.2;3.6;4;4;3.8;0.45;0.483333333;2.166666667;2.483333333;0.033333333;1.383333333;40;48;54;34;58;46.8;0;0;0.2;0.366666667;0;0;0;0.016666667;0.016666667;3.266666667;0;0;0.2;0;0.25;0.13;0;0.066666667;0.233333333;0.1;0.133333333;0.083333333;0.116666667;0.083333333;0;2
Suburbano La Palma-El Patio;0.007692308;0.011494253;0.011494253;0.022988506;0.019157088;0.01532567;0.003831418;0.2;0.2;0.6;1;0.8;0.4;0.6;0.4;0;0.6;0;0;0.016666667;0.1;0.25;0.25;0.016666667;0.133333333;4;4;5;6;5;4.8;0;0;0.05;0.033333333;0;0;0;0;0.033333333;0.266666667;0;0;0.2;0;0;0.03;0;0;0;0.05;0;0;0.05;0.016666667;0;2
Suburbano Mirador Del Poblado;0.038461538;0.019157088;0.034482759;0.026819923;0.042145594;0.049808429;0.045977011;2.4;1.2;1;1;0.8;0.4;0.8;1.4;1;1.6;1.2;0.6;0;0.116666667;0.75;0.566666667;0;0.55;10;13;7;15;22;13.4;0;0.033333333;0.083333333;0.083333333;0;0;0;0;0;0.916666667;0;0;0;0;0;0.08;0;0.016666667;0.016666667;0.016666667;0.016666667;0.05;0.066666667;0.016666667;0;2
Suburbano Palmitas;0.007692308;0.003831418;0.007662835;0.007662835;0;0.003831418;0.007662835;0.2;0;0.4;0;0.2;0;0;0.4;0;0;0.4;0.4;0.016666667;0;0.116666667;0.05;0.016666667;0.1;0;2;4;3;1;2;0;0;0;0.033333333;0;0;0;0;0;0.116666667;0;0;0;0;0;0;0;0.016666667;0;0.016666667;0.016666667;0;0;0;0;2
Suburbano Pedregal Alto;0.003846154;0.011494253;0.01532567;0.007662835;0.019157088;0.007662835;0.022988506;0.4;0.2;0.6;0.4;0.4;0.2;0.6;0.6;0;0.8;0;0.4;0.016666667;0.066666667;0.083333333;0.366666667;0;0.016666667;5;4;11;1;2;4.6;0;0;0;0.033333333;0;0;0;0;0;0.35;0;0;0;0;0;0.07;0;0.016666667;0.016666667;0.016666667;0.016666667;0.05;0.016666667;0.033333333;0;2
Suburbano Potrerito;0;0.003831418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.016666667;0;0;0.016666667;0;0;0;0;0;1;0;0.2;0;0;0;0;0;0;0;0;0;0.016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Suburbano Travesias;0.038461538;0.038314176;0.030651341;0.045977011;0.045977011;0.053639847;0.049808429;1.2;0.8;2.2;1.4;2.2;0.6;1.8;1.6;1;1;0.8;1.2;0.3;0.2;0.5;1.033333333;0;0.283333333;15;9;21;13;21;15.8;0;0;0.133333333;0.233333333;0;0;0;0;0.033333333;0.916666667;0;0;0;0;0;0.03;0;0.05;0.016666667;0.016666667;0.033333333;0.016666667;0.083333333;0.033333333;0;2
Sucre;0.361538462;0.24137931;0.413793103;0.409961686;0.360153257;0.440613027;0.375478927;7.4;13.4;11;12;13.8;9.6;11.6;14.8;13;11.6;9.2;8.4;1.183333333;0.8;7.533333333;7.6;0.066666667;3.65;145;148;147;119;120;135.8;0.033333333;0.033333333;2.983333333;0.833333333;0.016666667;0;0;0;0.05;7.3;0;0;0.8;0;0.25;0.46;0.2;0.483333333;0.416666667;0.433333333;0.533333333;0.383333333;0.266666667;0.516666667;1;3
Suramericana;1.042307692;0.490421456;1.01532567;0.75862069;1.049808429;0.812260536;1.195402299;23.6;27.2;31.4;27.6;27.4;27.2;28.2;29.2;29.2;29;23.8;28.2;1.316666667;1.483333333;22.1;11.61666667;0.15;15.9;331;359;301;357;312;332;0.083333333;0;5.55;1.283333333;0;0;0.05;0.016666667;0.033333333;20.51666667;0;0;1;0.25;0;1.11;0.2;0.9;0.85;0.9;0.883333333;0.866666667;1.15;1.033333333;7;5
Tejelo;0.334615385;0.318007663;0.406130268;0.459770115;0.390804598;0.45210728;0.409961686;10.2;9.8;13.8;10.4;11.6;11.6;13.4;13.4;12.2;14;11.2;13;1.833333333;2.166666667;5.783333333;9.066666667;0.083333333;2.9;132;124;174;136;157;144.6;0.033333333;0;2.65;1.2;0;0;0;0;0;8.083333333;0;0;1;0;1;0.31;0.6;0.283333333;0.366666667;0.55;0.433333333;0.4;0.5;0.466666667;0;3
Tenche;0.607692308;0.195402299;0.574712644;0.609195402;0.735632184;0.501915709;0.620689655;13.6;16.8;17.8;12.4;18.8;13.8;17.8;18.4;19.8;15.8;18.6;17;0.7;0.766666667;13.7;8.15;0.1;8.466666667;180;227;241;176;179;200.6;0.083333333;0;3.75;0.616666667;0;0.033333333;0.016666667;0;0.05;12.08333333;0;0;0.2;0;0.75;0.83;0.2;0.566666667;0.5;0.433333333;0.683333333;0.533333333;0.733333333;0.5;3;3
Terminal De Transporte;1.688461538;0.996168582;1.636015326;1.536398467;1.701149425;1.735632184;1.846743295;45.4;42.6;52.8;49;48;50.2;45;47.4;44.2;53.2;48.6;54.8;2.666666667;3.55;35.11666667;22.2;0.316666667;25.91666667;658;572;542;631;503;581.2;0.15;5.8;2.583333333;3.583333333;0.05;0.083333333;0.95;0;0.183333333;34.73333333;0;0;2.2;2;1.25;1.86;0.8;1.55;1.65;1.633333333;1.6;1.35;1.983333333;1.483333333;5;3
Toscana;0.511538462;0.432950192;0.448275862;0.490421456;0.363984674;0.344827586;0.53256705;12.8;14.6;12.8;9.4;12.4;15.8;12.2;12.6;13;15.2;13.6;18.6;0.9;1.116666667;9.666666667;7.883333333;0.2;5.5;115;129;133;205;233;163;0.016666667;0;0.766666667;0.6;0;0.066666667;0.133333333;0;0.166666667;11.65;0;0;0;0;0.75;0.42;0.4;0.383333333;0.4;0.466666667;0.45;0.466666667;0.483333333;0.45;0;3
Trece De Noviembre;0.042307692;0.003831418;0.042145594;0.026819923;0.042145594;0.026819923;0.030651341;1.2;1.2;0.4;1;1;0.4;1;0.6;1.4;0.8;1;1.2;0.233333333;0.033333333;0.633333333;0.4;0;0.533333333;9;6;14;15;12;11.2;0.016666667;0;0.016666667;0.016666667;0;0;0;0;0;0.883333333;0;0;0;0;0;0.02;0;0;0.016666667;0.033333333;0.016666667;0.016666667;0.016666667;0.05;0;1
